Timestamp,Record Type,Instrument Name,Premium (256ths),Workup State,Workup Reason,Aggressive Order Number,Aggressive Bid/Ask,Passive Order Number,Passive Bid/Ask,Sequence
03:11:01:151775 20180108,WORKUP,2_YEAR,25554,11,1,000000000,1,000000000,2,3074
03:11:04:151778 20180108,WORKUP,2_YEAR,25554,0,1,000000000,1,000000000,2,3106
03:20:41:554693 20180108,WORKUP,2_YEAR,25554,10,1,000000000,1,000000000,2,3281
03:20:41:554693 20180108,WORKUP,2_YEAR,25554,11,1,000000000,1,000000000,2,3285
03:20:41:554916 20180108,WORKUP,2_YEAR,25554,11,1,000000000,1,000000000,2,3286
03:20:41:554974 20180108,WORKUP,2_YEAR,25554,11,1,000000000,1,000000000,2,3292
03:20:41:555006 20180108,WORKUP,2_YEAR,25554,11,1,000000000,1,000000000,2,3296
03:20:41:555041 20180108,WORKUP,2_YEAR,25554,11,1,000000000,1,000000000,2,3300
03:20:41:555071 20180108,WORKUP,2_YEAR,25554,11,1,000000000,1,000000000,2,3304
03:20:41:555102 20180108,WORKUP,2_YEAR,25554,11,1,000000000,1,000000000,2,3308
03:20:41:555142 20180108,WORKUP,2_YEAR,25554,11,1,000000000,1,000000000,2,3312
03:20:41:555193 20180108,WORKUP,2_YEAR,25554,11,1,000000000,1,000000000,2,3318
03:20:41:555220 20180108,WORKUP,2_YEAR,25554,11,1,000000000,1,000000000,2,3322
03:20:41:555245 20180108,WORKUP,2_YEAR,25554,11,1,000000000,1,000000000,2,3326
03:20:41:555286 20180108,WORKUP,2_YEAR,25554,11,1,000000000,1,000000000,2,3330
03:20:41:555326 20180108,WORKUP,2_YEAR,25554,11,1,000000000,1,000000000,2,3334
03:20:41:555353 20180108,WORKUP,2_YEAR,25554,11,1,000000000,1,000000000,2,3338
03:20:44:555006 20180108,WORKUP,2_YEAR,25554,0,1,000000000,1,000000000,2,3550
03:33:30:793483 20180108,WORKUP,2_YEAR,25556,10,1,000000000,1,000000000,2,3780
03:33:30:793483 20180108,WORKUP,2_YEAR,25556,11,1,000000000,1,000000000,2,3784
03:33:33:793488 20180108,WORKUP,2_YEAR,25556,0,1,000000000,1,000000000,2,3785
03:49:04:970193 20180108,WORKUP,2_YEAR,25556,10,1,000000000,1,000000000,2,4204
03:49:04:970193 20180108,WORKUP,2_YEAR,25556,11,1,000000000,1,000000000,2,4214
03:49:07:970415 20180108,WORKUP,2_YEAR,25556,0,1,000000000,1,000000000,2,4229
03:52:05:892253 20180108,WORKUP,2_YEAR,25556,10,1,000000000,1,000000000,2,4501
03:52:05:892253 20180108,WORKUP,2_YEAR,25556,11,1,000000000,1,000000000,2,4515
03:52:08:892655 20180108,WORKUP,2_YEAR,25556,0,1,000000000,1,000000000,2,4533
03:53:18:003081 20180108,WORKUP,2_YEAR,25556,10,1,000000000,1,000000000,2,4596
03:53:18:003081 20180108,WORKUP,2_YEAR,25556,11,1,000000000,1,000000000,2,4612
03:53:21:003733 20180108,WORKUP,2_YEAR,25556,0,1,000000000,1,000000000,2,4688
04:33:38:227316 20180108,WORKUP,2_YEAR,25558,10,1,000000000,1,000000000,2,6385
04:33:38:227316 20180108,WORKUP,2_YEAR,25558,11,1,000000000,1,000000000,2,6395
04:33:38:231533 20180108,WORKUP,2_YEAR,25558,11,1,000000000,1,000000000,2,6397
04:33:41:231335 20180108,WORKUP,2_YEAR,25558,0,1,000000000,1,000000000,2,6485
04:35:03:513050 20180108,WORKUP,2_YEAR,25558,10,1,000000000,2,000000000,1,6653
04:35:03:513050 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,6673
04:35:06:513811 20180108,WORKUP,2_YEAR,25558,0,1,000000000,2,000000000,1,6690
04:36:54:634163 20180108,WORKUP,2_YEAR,25558,10,1,000000000,2,000000000,1,6747
04:36:54:634163 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,6771
04:36:57:634935 20180108,WORKUP,2_YEAR,25558,0,1,000000000,2,000000000,1,6773
04:42:46:902068 20180108,WORKUP,2_YEAR,25558,10,1,000000000,2,000000000,1,6977
04:42:46:902068 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,6989
04:42:46:902480 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,6991
04:42:46:902539 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,6995
04:42:46:902570 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,6999
04:42:46:902734 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,7006
04:42:46:902775 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,7012
04:42:49:902862 20180108,WORKUP,2_YEAR,25558,0,1,000000000,2,000000000,1,7059
04:43:02:125816 20180108,WORKUP,2_YEAR,25558,10,1,000000000,2,000000000,1,7064
04:43:02:125816 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,7068
04:43:05:125462 20180108,WORKUP,2_YEAR,25558,0,1,000000000,2,000000000,1,7111
04:43:44:016922 20180108,WORKUP,2_YEAR,25558,10,1,000000000,2,000000000,1,7144
04:43:44:016922 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,7153
04:43:44:019101 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,7162
04:43:47:019724 20180108,WORKUP,2_YEAR,25558,0,1,000000000,2,000000000,1,7189
04:44:41:999103 20180108,WORKUP,2_YEAR,25558,10,1,000000000,2,000000000,1,7224
04:44:41:999103 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,7228
04:44:44:999959 20180108,WORKUP,2_YEAR,25558,0,1,000000000,2,000000000,1,7230
04:47:53:775603 20180108,WORKUP,2_YEAR,25558,10,1,000000000,2,000000000,1,7252
04:47:53:775603 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,7258
04:47:53:775712 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,7259
04:47:53:775744 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,7263
04:47:53:775784 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,7267
04:47:53:775842 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,7273
04:47:53:775898 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,7277
04:47:53:775923 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,7281
04:47:53:776063 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,7287
04:47:56:776098 20180108,WORKUP,2_YEAR,25558,0,1,000000000,2,000000000,1,7328
04:48:40:681978 20180108,WORKUP,2_YEAR,25558,10,1,000000000,1,000000000,2,7351
04:48:40:681978 20180108,WORKUP,2_YEAR,25558,11,1,000000000,1,000000000,2,7357
04:48:40:682058 20180108,WORKUP,2_YEAR,25558,11,1,000000000,1,000000000,2,7358
04:48:43:682847 20180108,WORKUP,2_YEAR,25558,0,1,000000000,1,000000000,2,7407
04:58:40:074783 20180108,WORKUP,2_YEAR,25558,10,1,000000000,2,000000000,1,7822
04:58:40:074783 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,7826
04:58:43:074036 20180108,WORKUP,2_YEAR,25558,0,1,000000000,2,000000000,1,7838
05:01:16:603336 20180108,WORKUP,2_YEAR,25558,10,1,000000000,2,000000000,1,8210
05:01:16:603336 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,8218
05:01:19:603217 20180108,WORKUP,2_YEAR,25558,0,1,000000000,2,000000000,1,8254
05:01:55:114164 20180108,WORKUP,2_YEAR,25558,10,1,000000000,2,000000000,1,8278
05:01:55:114164 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,8288
05:01:55:114257 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,8289
05:01:55:114547 20180108,WORKUP,2_YEAR,25558,11,1,000000000,2,000000000,1,8297
05:01:58:114184 20180108,WORKUP,2_YEAR,25558,0,1,000000000,2,000000000,1,8338
05:31:54:582989 20180108,WORKUP,2_YEAR,25560,10,1,000000000,1,000000000,2,9567
05:31:54:582989 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,9571
05:31:57:583916 20180108,WORKUP,2_YEAR,25560,0,1,000000000,1,000000000,2,9580
06:22:11:507226 20180108,WORKUP,2_YEAR,25560,10,1,000000000,1,000000000,2,10717
06:22:11:507226 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,10731
06:22:11:507418 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,10737
06:22:11:507495 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,10743
06:22:11:507567 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,10749
06:22:11:507628 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,10757
06:22:11:507652 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,10761
06:22:11:515859 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,10824
06:22:11:517347 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,10830
06:22:14:517328 20180108,WORKUP,2_YEAR,25560,0,1,000000000,1,000000000,2,10868
06:22:16:770716 20180108,WORKUP,2_YEAR,25560,10,1,000000000,1,000000000,2,10869
06:22:16:770716 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,10873
06:22:16:854778 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,10898
06:22:19:854171 20180108,WORKUP,2_YEAR,25560,0,1,000000000,1,000000000,2,10937
06:22:29:187208 20180108,WORKUP,2_YEAR,25560,10,1,000000000,2,000000000,1,10980
06:22:29:187208 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,10984
06:22:29:188442 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,10987
06:22:29:188509 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,10991
06:22:29:222469 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,11002
06:22:32:222990 20180108,WORKUP,2_YEAR,25560,0,1,000000000,2,000000000,1,11038
06:22:34:793252 20180108,WORKUP,2_YEAR,25560,10,1,000000000,1,000000000,2,11076
06:22:34:793252 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,11081
06:22:37:793449 20180108,WORKUP,2_YEAR,25560,0,1,000000000,1,000000000,2,11097
06:26:01:546772 20180108,WORKUP,2_YEAR,25560,10,1,000000000,1,000000000,2,11126
06:26:01:546772 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,11136
06:26:01:547108 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,11137
06:26:01:547238 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,11141
06:26:04:547203 20180108,WORKUP,2_YEAR,25560,0,1,000000000,1,000000000,2,11149
06:27:37:785118 20180108,WORKUP,2_YEAR,25560,10,1,000000000,1,000000000,2,11171
06:27:37:785118 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,11177
06:27:40:785570 20180108,WORKUP,2_YEAR,25560,0,1,000000000,1,000000000,2,11276
06:28:34:867088 20180108,WORKUP,2_YEAR,25560,10,1,000000000,2,000000000,1,11471
06:28:34:867088 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,11495
06:28:34:867502 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,11499
06:28:34:867652 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,11513
06:28:34:869081 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,11539
06:28:37:869957 20180108,WORKUP,2_YEAR,25560,0,1,000000000,2,000000000,1,11585
06:34:33:570609 20180108,WORKUP,2_YEAR,25560,10,1,000000000,2,000000000,1,11712
06:34:33:570609 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,11716
06:34:36:570713 20180108,WORKUP,2_YEAR,25560,0,1,000000000,2,000000000,1,11725
06:35:48:660905 20180108,WORKUP,2_YEAR,25560,10,1,000000000,2,000000000,1,11730
06:35:48:660905 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,11734
06:35:51:661051 20180108,WORKUP,2_YEAR,25560,0,1,000000000,2,000000000,1,11748
06:36:38:306166 20180108,WORKUP,2_YEAR,25560,10,1,000000000,2,000000000,1,11769
06:36:38:306166 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,11781
06:36:41:306639 20180108,WORKUP,2_YEAR,25560,0,1,000000000,2,000000000,1,11815
06:39:02:606808 20180108,WORKUP,2_YEAR,25560,10,1,000000000,1,000000000,2,11920
06:39:02:606808 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,11925
06:39:05:606954 20180108,WORKUP,2_YEAR,25560,0,1,000000000,1,000000000,2,11962
06:39:31:464075 20180108,WORKUP,2_YEAR,25560,10,1,000000000,1,000000000,2,12058
06:39:31:464075 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,12063
06:39:34:464120 20180108,WORKUP,2_YEAR,25560,0,1,000000000,1,000000000,2,12091
06:41:11:112811 20180108,WORKUP,2_YEAR,25560,10,1,000000000,1,000000000,2,12160
06:41:11:112811 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,12164
06:41:14:112057 20180108,WORKUP,2_YEAR,25560,0,1,000000000,1,000000000,2,12165
06:46:42:726398 20180108,WORKUP,2_YEAR,25560,10,1,000000000,1,000000000,2,12246
06:46:42:726398 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,12252
06:46:45:726223 20180108,WORKUP,2_YEAR,25560,0,1,000000000,1,000000000,2,12262
06:55:23:241790 20180108,WORKUP,2_YEAR,25560,10,1,000000000,1,000000000,2,12547
