Timestamp,Record Type,Instrument Name,Premium (256ths),Quantity,Deal Source,Aggressive,Bid/Ask,Order Number,Sequence
02:40:48:385812 20180108,TRADE,2_YEAR,25556,2,1,0,B,6057940000011EA6,1763
02:41:14:748315 20180108,TRADE,2_YEAR,25556,11,1,0,B,60579400000122B1,1812
02:41:14:748315 20180108,TRADE,2_YEAR,25556,11,1,1,A,6057940000012302,1813
02:44:24:709823 20180108,TRADE,2_YEAR,25556,2,1,0,A,6057940000012AB4,1920
02:44:24:709823 20180108,TRADE,2_YEAR,25556,2,1,1,B,6057940000012C08,1921
02:44:29:471086 20180108,TRADE,2_YEAR,25556,10,1,0,B,6057940000012D13,1958
02:44:29:471086 20180108,TRADE,2_YEAR,25556,10,1,1,A,6057940000012D4F,1959
03:03:00:165837 20180108,TRADE,2_YEAR,25554,6,1,0,B,605794000000B67E,2516
03:03:00:165837 20180108,TRADE,2_YEAR,25554,6,1,1,A,6057940000017482,2517
03:03:00:166046 20180108,TRADE,2_YEAR,25554,8,1,0,B,605794000000B67E,2528
03:03:00:166046 20180108,TRADE,2_YEAR,25554,32,1,1,A,6057940000017485,2529
03:03:00:166046 20180108,TRADE,2_YEAR,25554,2,1,0,B,605794000000C334,2530
03:03:00:166046 20180108,TRADE,2_YEAR,25554,10,1,0,B,605794000000C9F9,2531
03:03:00:166046 20180108,TRADE,2_YEAR,25554,2,1,0,B,605794000000DF4C,2532
03:03:00:166046 20180108,TRADE,2_YEAR,25554,2,1,0,B,6057940000012FE1,2533
03:03:00:166046 20180108,TRADE,2_YEAR,25554,2,1,0,B,6057940000015E9B,2534
03:03:00:166046 20180108,TRADE,2_YEAR,25554,4,1,0,B,60579400000173C5,2535
03:03:00:166046 20180108,TRADE,2_YEAR,25554,2,1,0,B,60579400000173F3,2536
03:11:01:151119 20180108,TRADE,2_YEAR,25554,4,1,0,A,6057940000017486,3061
03:11:01:151119 20180108,TRADE,2_YEAR,25554,4,1,1,B,605794000001A1E6,3062
03:11:01:151203 20180108,TRADE,2_YEAR,25554,4,1,0,A,6057940000017486,3066
03:11:01:151203 20180108,TRADE,2_YEAR,25554,4,1,1,B,605794000001A1EA,3067
03:11:01:151775 20180108,TRADE,2_YEAR,25554,8,1,0,A,6057940000017486,3077
03:11:01:151775 20180108,TRADE,2_YEAR,25554,8,1,1,B,60579400000158B0,3078
03:20:41:554693 20180108,TRADE,2_YEAR,25554,1,1,0,A,60579400000174EB,3283
03:20:41:554693 20180108,TRADE,2_YEAR,25554,1,1,1,B,605794000001BBAA,3284
03:20:41:554916 20180108,TRADE,2_YEAR,25554,14,1,0,A,60579400000174EB,3289
03:20:41:554916 20180108,TRADE,2_YEAR,25554,80,1,1,B,605794000001BBAE,3290
03:20:41:554916 20180108,TRADE,2_YEAR,25554,66,1,0,A,6057940000017C21,3291
03:20:41:554974 20180108,TRADE,2_YEAR,25554,73,1,0,A,6057940000017C21,3294
03:20:41:554974 20180108,TRADE,2_YEAR,25554,73,1,1,B,605794000001BBB0,3295
03:20:41:555006 20180108,TRADE,2_YEAR,25554,6,1,0,A,6057940000017C21,3298
03:20:41:555006 20180108,TRADE,2_YEAR,25554,6,1,1,B,605794000001BBB1,3299
03:20:41:555041 20180108,TRADE,2_YEAR,25554,6,1,0,A,6057940000017C21,3302
03:20:41:555041 20180108,TRADE,2_YEAR,25554,6,1,1,B,605794000001BBB2,3303
03:20:41:555071 20180108,TRADE,2_YEAR,25554,60,1,0,A,6057940000017C21,3306
03:20:41:555071 20180108,TRADE,2_YEAR,25554,60,1,1,B,605794000001BBB3,3307
03:20:41:555102 20180108,TRADE,2_YEAR,25554,8,1,0,A,6057940000017C21,3310
03:20:41:555102 20180108,TRADE,2_YEAR,25554,8,1,1,B,605794000001BBB4,3311
03:20:41:555142 20180108,TRADE,2_YEAR,25554,21,1,0,A,6057940000017C21,3315
03:20:41:555142 20180108,TRADE,2_YEAR,25554,40,1,1,B,605794000001BBB5,3316
03:20:41:555142 20180108,TRADE,2_YEAR,25554,19,1,0,A,6057940000017C25,3317
03:20:41:555193 20180108,TRADE,2_YEAR,25554,6,1,0,A,6057940000017C25,3320
03:20:41:555193 20180108,TRADE,2_YEAR,25554,6,1,1,B,605794000001BBB8,3321
03:20:41:555220 20180108,TRADE,2_YEAR,25554,6,1,0,A,6057940000017C25,3324
03:20:41:555220 20180108,TRADE,2_YEAR,25554,6,1,1,B,605794000001BBB9,3325
03:20:41:555245 20180108,TRADE,2_YEAR,25554,6,1,0,A,6057940000017C25,3328
03:20:41:555245 20180108,TRADE,2_YEAR,25554,6,1,1,B,605794000001BBBA,3329
03:20:41:555286 20180108,TRADE,2_YEAR,25554,1,1,0,A,6057940000017C25,3332
03:20:41:555286 20180108,TRADE,2_YEAR,25554,1,1,1,B,605794000001BBBD,3333
03:20:41:555326 20180108,TRADE,2_YEAR,25554,1,1,0,A,6057940000017C25,3336
03:20:41:555326 20180108,TRADE,2_YEAR,25554,1,1,1,B,605794000001BBBF,3337
03:20:41:555353 20180108,TRADE,2_YEAR,25554,2,1,0,A,6057940000017C25,3340
03:20:41:555353 20180108,TRADE,2_YEAR,25554,2,1,1,B,605794000001BBC0,3341
03:33:30:793483 20180108,TRADE,2_YEAR,25556,1,1,0,A,6057940000012EB1,3782
03:33:30:793483 20180108,TRADE,2_YEAR,25556,1,1,1,B,605794000001EF2B,3783
03:49:04:970193 20180108,TRADE,2_YEAR,25556,1,1,0,A,6057940000012EB1,4209
03:49:04:970193 20180108,TRADE,2_YEAR,25556,39,1,1,B,60579400000226F3,4210
03:49:04:970193 20180108,TRADE,2_YEAR,25556,25,1,0,A,6057940000012FB7,4211
