Date,Currency,Description,Producer,Record,Bid,Ask,Bid Yield %,Ask Yield %,Maturity Date,Coupon,Last Trade Price,Last Trade Size mm,Mid Yield %,Bid Size mm,Ask Size mm,Duration,Total Volume mm,Dollar Flow,Close,High,Low,Open,VWAP,VWAY %,Best Ask Size1,Best Ask Size2,Best Ask Size3,Best Ask Size4,Best Ask Size5,Best Ask1,Best Ask2,Best Ask3,Best Ask4,Best Ask5,Best Bid Size1,Best Bid Size2,Best Bid Size3,Best Bid Size4,Best Bid Size5,Best Bid1,Best Bid2,Best Bid3,Best Bid4,Best Bid5,Sequence
06/01/2018 22:21:38.959,USD,2YR NOTE,US_500,2_YEAR,0,0,<blank>,<blank>,31 Dec 2019,1.875,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,,<blank>,<blank>,<blank>,<blank>,0,0,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,15
07/01/2018 01:00:44.747,USD,2YR NOTE,US_500,2_YEAR,0,0,<blank>,<blank>,31 Dec 2019,1.875,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,,<blank>,<blank>,<blank>,<blank>,0,0,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,16
07/01/2018 17:45:17.185,USD,2YR NOTE,US_500,2_YEAR,0,0,<blank>,<blank>,,,,,,<blank>,<blank>,,<blank>,,<blank>,<blank>,<blank>,<blank>,,,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,17
07/01/2018 18:00:13.312,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,,,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,18
07/01/2018 18:00:13.437,USD,2YR NOTE,US_500,2_YEAR,<blank>,<blank>,<blank>,<blank>,<blank>,,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,19
07/01/2018 18:05:17.750,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
07/01/2018 18:05:17.844,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
07/01/2018 18:32:53.472,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,,,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,22
07/01/2018 18:33:08.675,USD,2YR NOTE,US_500,2_YEAR,0,0,<blank>,<blank>,31 Dec 2019,1.875,,,,<blank>,<blank>,,0,,99.828125,0,0,0,,,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,23
07/01/2018 18:39:52.582,USD,2YR NOTE,US_500,2_YEAR,0,0,<blank>,<blank>,,,,,,<blank>,<blank>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
07/01/2018 18:40:17.645,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
07/01/2018 18:40:17.707,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
08/01/2018 00:31:20.912,USD,2YR NOTE,US_500,2_YEAR,0,0,<blank>,<blank>,31 Dec 2019,1.875,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,0,,99.828125,0,0,0,0,0,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,27
